"item","region","zone","town","date","price","townCode","lat","lon"
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2010-01-01,8.42,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2010-02-01,9.01,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2010-03-01,9.01,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2010-04-01,8.27,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2010-05-01,8.53,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2010-06-01,8.89,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2010-07-01,8,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2010-08-01,6.84,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2010-09-01,6.67,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2010-10-01,7.9,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2010-11-01,7.9,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2010-12-01,7.31,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2011-01-01,7.9,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2011-02-01,7.35,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2011-03-01,8,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2011-04-01,9.83,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2011-05-01,9.5,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2011-06-01,10.17,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2011-07-01,9.51,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2011-08-01,10.02,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2011-09-01,9.43,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2011-10-01,8.99,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2011-11-01,10.07,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2011-12-01,9.76,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2012-01-01,9.92,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2012-02-01,9.43,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2012-03-01,11.57,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2012-04-01,12.73,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2012-05-01,13.97,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2012-06-01,16.74,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2012-07-01,15.1,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2012-08-01,13.33,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2012-09-01,14.08,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2012-10-01,13.67,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2012-11-01,14.52,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2012-12-01,12.28,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2013-01-01,13.38,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2013-02-01,15.99,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2013-03-01,16.2,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2013-04-01,16.41,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2013-05-01,16.41,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2013-06-01,16.41,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2013-07-01,15.92,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2013-08-01,16.2,101041,14.100111554,38.281111968
"Teff","Tigray","North Western Tigray","Endaselas (Shire)",2013-09-01,17.78,101041,14.100111554,38.281111968
