"region","zone","item","date","price","weight"
"Tigray","North Western Tigray","Barley",2010-01-01,4.53,2
"Tigray","North Western Tigray","Barley",2010-02-01,6.98,2
"Tigray","North Western Tigray","Barley",2010-03-01,6.13,1
"Tigray","North Western Tigray","Barley",2010-04-01,6.71,2
"Tigray","North Western Tigray","Barley",2010-05-01,6.36,2
"Tigray","North Western Tigray","Barley",2010-06-01,7.69,1
"Tigray","North Western Tigray","Barley",2010-07-01,6.43,2
"Tigray","North Western Tigray","Barley",2010-08-01,7.14,1
"Tigray","North Western Tigray","Barley",2010-09-01,6.38,1
"Tigray","North Western Tigray","Barley",2010-10-01,6.46,1
"Tigray","North Western Tigray","Barley",2010-11-01,5.2,2
"Tigray","North Western Tigray","Barley",2010-12-01,5.74,2
"Tigray","North Western Tigray","Barley",2011-01-01,5.77,2
"Tigray","North Western Tigray","Barley",2011-02-01,5.75,2
"Tigray","North Western Tigray","Barley",2011-03-01,4.79,1
"Tigray","North Western Tigray","Barley",2011-04-01,5.54,2
"Tigray","North Western Tigray","Barley",2011-05-01,6.49,1
"Tigray","North Western Tigray","Barley",2011-06-01,7.37,2
"Tigray","North Western Tigray","Barley",2011-07-01,7.41,1
"Tigray","North Western Tigray","Barley",2011-08-01,5.41,1
"Tigray","North Western Tigray","Barley",2011-09-01,8.93,2
"Tigray","North Western Tigray","Barley",2011-10-01,7.69,2
"Tigray","North Western Tigray","Barley",2011-11-01,7.64,2
"Tigray","North Western Tigray","Barley",2011-12-01,7.26,1
"Tigray","North Western Tigray","Barley",2012-01-01,9.82,2
"Tigray","North Western Tigray","Barley",2012-02-01,10.3,2
"Tigray","North Western Tigray","Barley",2012-03-01,9.62,2
"Tigray","North Western Tigray","Barley",2012-04-01,9.37,1
"Tigray","North Western Tigray","Barley",2012-05-01,10.3,2
"Tigray","North Western Tigray","Barley",2012-06-01,9.25,2
"Tigray","North Western Tigray","Barley",2012-07-01,9.82,2
"Tigray","North Western Tigray","Barley",2012-08-01,9.36,2
"Tigray","North Western Tigray","Barley",2012-09-01,9.3,2
"Tigray","North Western Tigray","Barley",2012-10-01,9.39,2
"Tigray","North Western Tigray","Barley",2012-11-01,8.32,2
"Tigray","North Western Tigray","Barley",2012-12-01,9.7,2
"Tigray","North Western Tigray","Barley",2013-01-01,9.56,2
"Tigray","North Western Tigray","Barley",2013-02-01,9.81,1
"Tigray","North Western Tigray","Barley",2013-03-01,8.76,2
"Tigray","North Western Tigray","Barley",2013-04-01,10.41,2
"Tigray","North Western Tigray","Barley",2013-05-01,10.46,2
"Tigray","North Western Tigray","Barley",2013-06-01,10.52,2
"Tigray","North Western Tigray","Barley",2013-07-01,10.21,1
"Tigray","North Western Tigray","Barley",2013-09-01,9.41,2
"Tigray","North Western Tigray","Barley",2013-10-01,9.37,2
"Tigray","North Western Tigray","Barley",2013-11-01,9.7,2
"Tigray","North Western Tigray","Barley",2013-12-01,10.27,2
"Tigray","North Western Tigray","Barley",2014-01-01,10.43,2
"Tigray","North Western Tigray","Barley",2014-02-01,9.44,2
"Tigray","North Western Tigray","Barley",2014-03-01,10.21,2
"Tigray","North Western Tigray","Barley",2014-04-01,10.25,2
"Tigray","North Western Tigray","Barley",2014-05-01,9.95,2
"Tigray","North Western Tigray","Barley",2014-06-01,10.15,2
"Tigray","North Western Tigray","Beer",2010-01-01,6,2
"Tigray","North Western Tigray","Beer",2010-02-01,6,1
"Tigray","North Western Tigray","Beer",2010-03-01,6,1
"Tigray","North Western Tigray","Beer",2010-04-01,7,1
"Tigray","North Western Tigray","Beer",2010-05-01,7,1
"Tigray","North Western Tigray","Beer",2010-06-01,7,1
"Tigray","North Western Tigray","Beer",2010-07-01,7,1
"Tigray","North Western Tigray","Beer",2010-08-01,7,1
"Tigray","North Western Tigray","Beer",2010-09-01,7,1
"Tigray","North Western Tigray","Beer",2010-10-01,7,1
"Tigray","North Western Tigray","Beer",2010-11-01,7,1
"Tigray","North Western Tigray","Beer",2010-12-01,7,1
"Tigray","North Western Tigray","Beer",2011-01-01,9,1
"Tigray","North Western Tigray","Beer",2011-02-01,7.1,1
"Tigray","North Western Tigray","Beer",2011-03-01,8,1
"Tigray","North Western Tigray","Beer",2011-04-01,7,1
"Tigray","North Western Tigray","Beer",2011-05-01,8,2
"Tigray","North Western Tigray","Beer",2011-06-01,8.67,1
"Tigray","North Western Tigray","Beer",2011-08-01,10,1
"Tigray","North Western Tigray","Beer",2011-09-01,10,2
"Tigray","North Western Tigray","Beer",2011-10-01,10,1
"Tigray","North Western Tigray","Beer",2011-11-01,10,2
"Tigray","North Western Tigray","Beer",2011-12-01,10,2
"Tigray","North Western Tigray","Beer",2012-01-01,10,2
"Tigray","North Western Tigray","Beer",2012-02-01,10,2
"Tigray","North Western Tigray","Beer",2012-03-01,10.66,2
"Tigray","North Western Tigray","Beer",2012-04-01,10,2
"Tigray","North Western Tigray","Beer",2012-05-01,10,2
"Tigray","North Western Tigray","Beer",2012-06-01,10.66,2
"Tigray","North Western Tigray","Beer",2012-07-01,10.66,2
"Tigray","North Western Tigray","Beer",2012-08-01,10.66,2
"Tigray","North Western Tigray","Beer",2012-09-01,11,2
"Tigray","North Western Tigray","Beer",2012-10-01,10.66,2
"Tigray","North Western Tigray","Beer",2012-11-01,11.66,2
"Tigray","North Western Tigray","Beer",2012-12-01,11.66,2
"Tigray","North Western Tigray","Beer",2013-01-01,10.66,2
"Tigray","North Western Tigray","Beer",2013-02-01,12,2
"Tigray","North Western Tigray","Beer",2013-03-01,11.66,2
"Tigray","North Western Tigray","Beer",2013-04-01,12,2
"Tigray","North Western Tigray","Beer",2013-05-01,12,2
"Tigray","North Western Tigray","Beer",2013-06-01,12,2
"Tigray","North Western Tigray","Beer",2013-07-01,11.5,2
"Tigray","North Western Tigray","Beer",2013-08-01,11.34,2
"Tigray","North Western Tigray","Beer",2013-09-01,11.84,2
"Tigray","North Western Tigray","Beer",2013-10-01,12,2
"Tigray","North Western Tigray","Beer",2013-11-01,12,2
"Tigray","North Western Tigray","Beer",2013-12-01,12,2
"Tigray","North Western Tigray","Beer",2014-01-01,12,2
"Tigray","North Western Tigray","Beer",2014-02-01,12,2
"Tigray","North Western Tigray","Beer",2014-03-01,12,2
"Tigray","North Western Tigray","Beer",2014-04-01,12,2
"Tigray","North Western Tigray","Beer",2014-05-01,12,2
"Tigray","North Western Tigray","Beer",2014-06-01,12,2
"Tigray","North Western Tigray","Cement",2010-01-01,120.41,2
"Tigray","North Western Tigray","Cement",2010-02-01,109.16,2
"Tigray","North Western Tigray","Cement",2010-03-01,115.84,2
"Tigray","North Western Tigray","Cement",2010-04-01,159.67,1
"Tigray","North Western Tigray","Cement",2010-05-01,202.08,2
"Tigray","North Western Tigray","Cement",2010-06-01,184.58,2
"Tigray","North Western Tigray","Cement",2010-07-01,165.83,2
"Tigray","North Western Tigray","Cement",2010-08-01,153.33,1
"Tigray","North Western Tigray","Cement",2010-09-01,176.88,2
"Tigray","North Western Tigray","Cement",2010-10-01,182.5,1
"Tigray","North Western Tigray","Cement",2010-11-01,187.08,2
"Tigray","North Western Tigray","Cement",2010-12-01,182.08,2
"Tigray","North Western Tigray","Cement",2011-01-01,208.33,1
"Tigray","North Western Tigray","Cement",2011-02-01,185.83,2
"Tigray","North Western Tigray","Cement",2011-03-01,182.5,2
"Tigray","North Western Tigray","Cement",2011-04-01,200,1
"Tigray","North Western Tigray","Cement",2011-05-01,238.75,2
"Tigray","North Western Tigray","Cement",2011-06-01,246.67,1
"Tigray","North Western Tigray","Cement",2011-07-01,268.25,2
"Tigray","North Western Tigray","Cement",2011-08-01,150.5,2
"Tigray","North Western Tigray","Cement",2011-09-01,101,2
"Tigray","North Western Tigray","Cement",2011-10-01,166.25,2
"Tigray","North Western Tigray","Cement",2011-11-01,140.59,2
"Tigray","North Western Tigray","Cement",2011-12-01,132.41,2
"Tigray","North Western Tigray","Cement",2012-01-01,131.67,2
"Tigray","North Western Tigray","Cement",2012-02-01,128.75,2
"Tigray","North Western Tigray","Cement",2012-03-01,130,1
"Tigray","North Western Tigray","Cement",2012-06-01,125.84,2
"Tigray","North Western Tigray","Cement",2012-07-01,134.33,2
"Tigray","North Western Tigray","Cement",2012-08-01,137.5,1
"Tigray","North Western Tigray","Cement",2012-09-01,125,2
"Tigray","North Western Tigray","Cement",2012-10-01,127.5,1
"Tigray","North Western Tigray","Cement",2012-11-01,127.5,1
"Tigray","North Western Tigray","Cement",2012-12-01,125,1
"Tigray","North Western Tigray","Cement",2013-01-01,127.33,1
"Tigray","North Western Tigray","Cement",2013-02-01,128.33,1
"Tigray","North Western Tigray","Cement",2013-03-01,130,2
"Tigray","North Western Tigray","Cement",2013-04-01,140.83,2
"Tigray","North Western Tigray","Cement",2013-05-01,142.5,2
"Tigray","North Western Tigray","Cement",2013-06-01,135.83,2
"Tigray","North Western Tigray","Cement",2013-07-01,130,1
"Tigray","North Western Tigray","Cement",2013-08-01,127.5,1
"Tigray","North Western Tigray","Cement",2013-09-01,132.5,1
"Tigray","North Western Tigray","Cement",2013-10-01,132.33,1
"Tigray","North Western Tigray","Cement",2013-11-01,125,2
"Tigray","North Western Tigray","Cement",2013-12-01,124.59,2
"Tigray","North Western Tigray","Cement",2014-01-01,118.75,2
"Tigray","North Western Tigray","Cement",2014-02-01,123.66,2
"Tigray","North Western Tigray","Cement",2014-03-01,123.75,2
"Tigray","North Western Tigray","Cement",2014-04-01,125,2
"Tigray","North Western Tigray","Cement",2014-05-01,123.33,2
"Tigray","North Western Tigray","Cement",2014-06-01,124.16,2
