"item","state","urbanRural","pT","zoneCode","stateCode","mean","median","boxPosition","dotPosition"
"Maize White","Ekiti","Rural",-0.0962308347225189,1,1,0.122217332323392,0.135087177157402,1,1
"Maize White","Ogun","Rural",0.106115445494652,1,3,0.122217332323392,0.135087177157402,1,1
"Maize White","Ogun","Urban",0.105213940143585,1,3,0.122217332323392,0.135087177157402,1,1
"Maize White","Osun","Rural",0.176040977239609,1,5,0.122217332323392,0.135087177157402,1,1
"Maize White","Osun","Urban",0.278105556964874,1,5,0.122217332323392,0.135087177157402,1,1
"Maize White","Oyo","Rural",0.164058908820152,1,6,0.122217332323392,0.135087177157402,1,1
"Maize White","Akwa Ibom","Rural",-0.891207337379456,2,7,-0.0658076032996178,0.0779976844787598,1,2
"Maize White","Cross River","Urban",0.471981555223465,2,9,-0.0658076032996178,0.0779976844787598,1,2
"Maize White","Delta","Rural",0.406179875135422,2,10,-0.0658076032996178,0.0779976844787598,1,2
"Maize White","Rivers","Rural",-0.250184506177902,2,12,-0.0658076032996178,0.0779976844787598,1,2
"Maize White","Anambra","Urban",-0.224372625350952,3,14,-0.269492149353027,-0.269492149353027,1,3
"Maize White","Enugu","Rural",-0.314611673355103,3,16,-0.269492149353027,-0.269492149353027,1,3
"Maize White","Jigawa","Rural",-0.235372975468636,4,18,-0.0740686617791653,-0.204409323632717,1,4
"Maize White","Kaduna","Urban",-0.173445671796799,4,19,-0.0740686617791653,-0.204409323632717,1,4
"Maize White","Kano","Rural",0.405279457569122,4,20,-0.0740686617791653,-0.204409323632717,1,4
"Maize White","Sokoto","Rural",-0.300640463829041,4,23,-0.0740686617791653,-0.204409323632717,1,4
"Maize White","Sokoto","Urban",-0.250861674547195,4,23,-0.0740686617791653,-0.204409323632717,1,4
"Maize White","Zamfara","Rural",0.110629357397556,4,24,-0.0740686617791653,-0.204409323632717,1,4
"Maize White","Benue","Rural",-0.352851301431656,5,25,-0.0951761500909925,-0.152026582509279,1,5
"Maize White","FCT","Rural",0.291569322347641,5,26,-0.0951761500909925,-0.152026582509279,1,5
"Maize White","Kwara","Rural",0.120196603238583,5,28,-0.0951761500909925,-0.152026582509279,1,5
"Maize White","Nasarawa","Rural",-0.119998343288898,5,29,-0.0951761500909925,-0.152026582509279,1,5
"Maize White","Nasarawa","Urban",-0.112789429724216,5,29,-0.0951761500909925,-0.152026582509279,1,5
"Maize White","Niger","Rural",-0.203825354576111,5,30,-0.0951761500909925,-0.152026582509279,1,5
"Maize White","Niger","Urban",-0.18405482172966,5,30,-0.0951761500909925,-0.152026582509279,1,5
"Maize White","Plateau","Urban",-0.199655875563622,5,31,-0.0951761500909925,-0.152026582509279,1,5
"Maize White","Bauchi","Urban",-0.257220566272736,6,33,-0.101894016067187,-0.203464418649673,1,6
"Maize White","Borno","Urban",-0.203464418649673,6,34,-0.101894016067187,-0.203464418649673,1,6
"Maize White","Taraba","Urban",0.155002936720848,6,36,-0.101894016067187,-0.203464418649673,1,6
"Maize Yellow","Ogun","Urban",0.127223640680313,1,3,0.155302775402864,0.118035111576319,3,9
"Maize Yellow","Ogun","Rural",0.102821677923203,1,3,0.155302775402864,0.118035111576319,3,9
"Maize Yellow","Ondo","Rural",0.108846582472324,1,4,0.155302775402864,0.118035111576319,3,9
"Maize Yellow","Osun","Urban",0.274839818477631,1,5,0.155302775402864,0.118035111576319,3,9
"Maize Yellow","Osun","Rural",0.222289025783539,1,5,0.155302775402864,0.118035111576319,3,9
"Maize Yellow","Oyo","Rural",0.0957959070801735,1,6,0.155302775402864,0.118035111576319,3,9
"Maize Yellow","Delta","Rural",0.248575955629349,2,10,0.218234464526176,0.218234464526176,3,10
"Maize Yellow","Edo","Rural",0.187892973423004,2,11,0.218234464526176,0.218234464526176,3,10
"Maize Yellow","Abia","Urban",0.184717163443565,3,13,-0.142346478998661,-0.142346478998661,3,11
"Maize Yellow","Enugu","Rural",-0.469410121440887,3,16,-0.142346478998661,-0.142346478998661,3,11
"Maize Yellow","Jigawa","Urban",-0.245075330138206,4,18,-0.155498508363962,-0.211037985980511,3,12
"Maize Yellow","Jigawa","Rural",-0.454336076974869,4,18,-0.155498508363962,-0.211037985980511,3,12
"Maize Yellow","Kaduna","Urban",-0.177000641822815,4,19,-0.155498508363962,-0.211037985980511,3,12
"Maize Yellow","Kano","Rural",0.254418015480042,4,20,-0.155498508363962,-0.211037985980511,3,12
"Maize Yellow","FCT","Rural",0.324764788150787,5,26,-0.0280741850535075,-0.137303829193115,3,13
"Maize Yellow","Kwara","Rural",-0.137303829193115,5,28,-0.0280741850535075,-0.137303829193115,3,13
"Maize Yellow","Niger","Urban",-0.271683514118195,5,30,-0.0280741850535075,-0.137303829193115,3,13
"Maize Yellow","Adamawa","Rural",-0.188264980912209,6,32,-0.270216040313244,-0.2706034258008,3,14
"Maize Yellow","Bauchi","Urban",-0.185063973069191,6,33,-0.270216040313244,-0.2706034258008,3,14
"Maize Yellow","Borno","Urban",-0.354593336582184,6,34,-0.270216040313244,-0.2706034258008,3,14
"Maize Yellow","Yobe","Urban",-0.352941870689392,6,37,-0.270216040313244,-0.2706034258008,3,14
"Rice Imported","Ekiti","Rural",2.98719668388367,1,1,0.688512245193124,0.351253688335419,5,17
"Rice Imported","Lagos","Rural",0.337092816829681,1,2,0.688512245193124,0.351253688335419,5,17
"Rice Imported","Lagos","Urban",0.218125000596046,1,2,0.688512245193124,0.351253688335419,5,17
"Rice Imported","Ogun","Rural",0.365218192338943,1,3,0.688512245193124,0.351253688335419,5,17
"Rice Imported","Ondo","Urban",0.27968242764473,1,4,0.688512245193124,0.351253688335419,5,17
"Rice Imported","Osun","Rural",0.337289184331894,1,5,0.688512245193124,0.351253688335419,5,17
"Rice Imported","Oyo","Rural",0.513907134532928,1,6,0.688512245193124,0.351253688335419,5,17
"Rice Imported","Oyo","Urban",0.4695865213871,1,6,0.688512245193124,0.351253688335419,5,17
"Rice Imported","Akwa Ibom","Rural",0.32899072766304,2,7,-0.0361933559179306,0.148267671465874,5,18
"Rice Imported","Delta","Urban",-0.686199843883514,2,10,-0.0361933559179306,0.148267671465874,5,18
"Rice Imported","Delta","Rural",0.479349583387375,2,10,-0.0361933559179306,0.148267671465874,5,18
"Rice Imported","Edo","Urban",-0.451374918222427,2,11,-0.0361933559179306,0.148267671465874,5,18
"Rice Imported","Rivers","Urban",0.148267671465874,2,12,-0.0361933559179306,0.148267671465874,5,18
"Rice Imported","Abia","Rural",-0.368982225656509,3,13,-0.143697053194046,-0.368982225656509,5,19
"Rice Imported","Abia","Urban",-0.575072765350342,3,13,-0.143697053194046,-0.368982225656509,5,19
"Rice Imported","Enugu","Rural",0.512963831424713,3,16,-0.143697053194046,-0.368982225656509,5,19
"Rice Imported","Kaduna","Urban",0.305210590362549,4,19,0.226930648088455,0.244635470211506,5,20
"Rice Imported","Kaduna","Rural",0.11324106156826,4,19,0.226930648088455,0.244635470211506,5,20
"Rice Imported","Zamfara","Urban",0.269175738096237,4,24,0.226930648088455,0.244635470211506,5,20
"Rice Imported","Zamfara","Rural",0.220095202326775,4,24,0.226930648088455,0.244635470211506,5,20
"Rice Imported","FCT","Rural",-0.935634315013885,5,26,0.155861228704453,0.277983948588371,5,21
"Rice Imported","Kogi","Urban",0.525838434696198,5,27,0.155861228704453,0.277983948588371,5,21
"Rice Imported","Kogi","Rural",0.544160723686218,5,27,0.155861228704453,0.277983948588371,5,21
"Rice Imported","Nasarawa","Rural",0.280829250812531,5,29,0.155861228704453,0.277983948588371,5,21
"Rice Imported","Niger","Urban",0.244834631681442,5,30,0.155861228704453,0.277983948588371,5,21
"Rice Imported","Plateau","Rural",0.275138646364212,5,31,0.155861228704453,0.277983948588371,5,21
"Rice Imported","Adamawa","Urban",0.53761214017868,6,32,0.364575064182281,0.53761214017868,5,22
"Rice Imported","Borno","Urban",0.373040378093719,6,34,0.364575064182281,0.53761214017868,5,22
"Rice Imported","Borno","Rural",0.753970205783844,6,34,0.364575064182281,0.53761214017868,5,22
"Rice Imported","Yobe","Urban",0.705992341041565,6,37,0.364575064182281,0.53761214017868,5,22
"Rice Imported","Yobe","Rural",-0.547739744186401,6,37,0.364575064182281,0.53761214017868,5,22
"Rice Local","Ekiti","Urban",0.588595271110535,1,1,0.271833370129267,0.377443298697472,7,25
"Rice Local","Ekiti","Rural",0.379151105880737,1,1,0.271833370129267,0.377443298697472,7,25
"Rice Local","Ogun","Rural",-0.477701306343079,1,3,0.271833370129267,0.377443298697472,7,25
"Rice Local","Ondo","Rural",0.430382877588272,1,4,0.271833370129267,0.377443298697472,7,25
"Rice Local","Osun","Rural",0.334836781024933,1,5,0.271833370129267,0.377443298697472,7,25
"Rice Local","Oyo","Urban",0.375735491514206,1,6,0.271833370129267,0.377443298697472,7,25
"Rice Local","Akwa Ibom","Rural",0.40097650885582,2,7,0.881200840075811,0.508186653256416,7,26
"Rice Local","Delta","Rural",4.42222595214844,2,10,0.881200840075811,0.508186653256416,7,26
"Rice Local","Delta","Urban",0.615396797657013,2,10,0.881200840075811,0.508186653256416,7,26
"Rice Local","Edo","Rural",-1.16144621372223,2,11,0.881200840075811,0.508186653256416,7,26
"Rice Local","Rivers","Rural",0.379346400499344,2,12,0.881200840075811,0.508186653256416,7,26
"Rice Local","Rivers","Urban",0.630705595016479,2,12,0.881200840075811,0.508186653256416,7,26
"Rice Local","Abia","Rural",-0.474304884672165,3,13,0.227414637804031,0.315558984875679,7,27
"Rice Local","Ebonyi","Urban",0.349152714014053,3,15,0.227414637804031,0.315558984875679,7,27
"Rice Local","Ebonyi","Rural",0.281965255737305,3,15,0.227414637804031,0.315558984875679,7,27
"Rice Local","Enugu","Rural",0.752845466136932,3,16,0.227414637804031,0.315558984875679,7,27
"Rice Local","Kaduna","Urban",0.43706864118576,4,19,0.417011567524501,0.361666738986969,7,28
"Rice Local","Kaduna","Rural",0.361666738986969,4,19,0.417011567524501,0.361666738986969,7,28
"Rice Local","Kano","Urban",0.219755053520203,4,20,0.417011567524501,0.361666738986969,7,28
"Rice Local","Katsina","Urban",0.400847166776657,4,21,0.417011567524501,0.361666738986969,7,28
"Rice Local","Katsina","Rural",0.352412611246109,4,21,0.417011567524501,0.361666738986969,7,28
"Rice Local","Kebbi","Rural",0.856761336326599,4,22,0.417011567524501,0.361666738986969,7,28
"Rice Local","Zamfara","Urban",0.290569424629211,4,24,0.417011567524501,0.361666738986969,7,28
"Rice Local","Benue","Urban",0.150525063276291,5,25,0.292568272600571,0.296005010604858,7,29
"Rice Local","Benue","Rural",0.422364145517349,5,25,0.292568272600571,0.296005010604858,7,29
"Rice Local","FCT","Urban",0.241694211959839,5,26,0.292568272600571,0.296005010604858,7,29
"Rice Local","FCT","Rural",0.305877774953842,5,26,0.292568272600571,0.296005010604858,7,29
"Rice Local","Kogi","Urban",0.402804493904114,5,27,0.292568272600571,0.296005010604858,7,29
"Rice Local","Kwara","Urban",0.315999299287796,5,28,0.292568272600571,0.296005010604858,7,29
"Rice Local","Nasarawa","Urban",0.340534687042236,5,29,0.292568272600571,0.296005010604858,7,29
"Rice Local","Nasarawa","Rural",0.164338007569313,5,29,0.292568272600571,0.296005010604858,7,29
"Rice Local","Niger","Rural",0.202425688505173,5,30,0.292568272600571,0.296005010604858,7,29
"Rice Local","Niger","Urban",0.406172782182693,5,30,0.292568272600571,0.296005010604858,7,29
"Rice Local","Plateau","Urban",0.286132246255875,5,31,0.292568272600571,0.296005010604858,7,29
"Rice Local","Plateau","Rural",0.271950870752335,5,31,0.292568272600571,0.296005010604858,7,29
"Rice Local","Adamawa","Urban",0.560229063034058,6,32,0.737497006853422,0.520271062850952,7,30
"Rice Local","Bauchi","Urban",-0.385461926460266,6,33,0.737497006853422,0.520271062850952,7,30
"Rice Local","Borno","Rural",0.483927249908447,6,34,0.737497006853422,0.520271062850952,7,30
"Rice Local","Gombe","Urban",0.556614875793457,6,35,0.737497006853422,0.520271062850952,7,30
"Rice Local","Gombe","Rural",2.79632496833801,6,35,0.737497006853422,0.520271062850952,7,30
"Rice Local","Taraba","Urban",0.413347810506821,6,36,0.737497006853422,0.520271062850952,7,30
"Sorghum","Lagos","Urban",0.254166543483734,1,2,0.133321395516396,0.167301669716835,9,33
"Sorghum","Ogun","Rural",0.114615060389042,1,3,0.133321395516396,0.167301669716835,9,33
"Sorghum","Ogun","Urban",0.228372007608414,1,3,0.133321395516396,0.167301669716835,9,33
