"item","state","centre","date","meanPrice"
"Cement Dangote","Edo","127,New Lagos Road",2010-01-01,1675
"Cement Dangote","Edo","127,New Lagos Road",2010-02-01,1700
"Cement Dangote","Edo","127,New Lagos Road",2010-03-01,1725
"Cement Dangote","Edo","127,New Lagos Road",2010-04-01,1733.32995605469
"Cement Dangote","Edo","127,New Lagos Road",2010-06-01,1720
"Cement Dangote","Edo","127,New Lagos Road",2010-08-01,1650
"Cement Dangote","Edo","127,New Lagos Road",2010-09-01,1600
"Cement Dangote","Edo","127,New Lagos Road",2010-10-01,1716.67004394531
"Cement Dangote","Edo","127,New Lagos Road",2010-12-01,1625
"Cement Dangote","Edo","127,New Lagos Road",2011-01-01,1550
"Cement Dangote","Edo","127,New Lagos Road",2011-04-01,2450
"Cement Dangote","Edo","127,New Lagos Road",2011-06-01,1800
"Cement Dangote","Edo","127,New Lagos Road",2012-02-01,1925
"Cement Dangote","Edo","127,New Lagos Road",2012-03-01,1850
"Cement Dangote","Edo","127,New Lagos Road",2012-10-01,1726.67004394531
"Cement Dangote","Edo","127,New Lagos Road",2012-11-01,1775
"Drink Swan Water Bottle","Edo","127,New Lagos Road",2010-08-01,27.5
"Drink Swan Water Bottle","Edo","127,New Lagos Road",2011-04-01,73.3300018310547
"Maize White","Edo","127,New Lagos Road",2010-01-01,126.057304382324
"Maize White","Edo","127,New Lagos Road",2010-06-01,121.588760375977
"Maize White","Edo","127,New Lagos Road",2010-08-01,119.375
"Maize White","Edo","127,New Lagos Road",2011-01-01,134.484741210938
"Maize White","Edo","127,New Lagos Road",2011-02-01,124.31421661377
"Maize White","Edo","127,New Lagos Road",2011-03-01,125.373229980469
"Maize White","Edo","127,New Lagos Road",2011-04-01,113.043479919434
"Maize White","Edo","127,New Lagos Road",2011-05-01,121.651786804199
"Maize White","Edo","127,New Lagos Road",2011-07-01,120.73592376709
"Maize White","Edo","127,New Lagos Road",2011-08-01,117.57462310791
"Maize White","Edo","127,New Lagos Road",2011-09-01,102.282958984375
"Maize White","Edo","127,New Lagos Road",2011-10-01,105.266647338867
"Maize White","Edo","127,New Lagos Road",2011-11-01,104.903839111328
"Maize White","Edo","127,New Lagos Road",2011-12-01,106.305419921875
"Maize White","Edo","127,New Lagos Road",2012-01-01,107.150001525879
"Maize White","Edo","127,New Lagos Road",2012-02-01,107.057060241699
"Maize White","Edo","127,New Lagos Road",2012-03-01,109.861701965332
"Maize White","Edo","127,New Lagos Road",2012-04-01,112.714286804199
"Maize White","Edo","127,New Lagos Road",2012-06-01,113.704284667969
"Maize White","Edo","127,New Lagos Road",2012-07-01,99.1966323852539
"Maize White","Edo","127,New Lagos Road",2012-08-01,107.273780822754
"Maize White","Edo","127,New Lagos Road",2012-09-01,102.337799072266
"Maize White","Edo","127,New Lagos Road",2012-10-01,119.301307678223
"Maize White","Edo","127,New Lagos Road",2012-11-01,107.828941345215
"Maize White","Edo","127,New Lagos Road",2012-12-01,112.293449401855
"Maize Yellow","Edo","127,New Lagos Road",2010-01-01,92.4154052734375
"Maize Yellow","Edo","127,New Lagos Road",2010-03-01,84.0646667480469
"Maize Yellow","Edo","127,New Lagos Road",2010-04-01,101.261680603027
"Maize Yellow","Edo","127,New Lagos Road",2010-05-01,107.569725036621
"Maize Yellow","Edo","127,New Lagos Road",2010-06-01,103.547454833984
"Maize Yellow","Edo","127,New Lagos Road",2010-08-01,115.606941223145
"Maize Yellow","Edo","127,New Lagos Road",2011-01-01,104.150001525879
"Maize Yellow","Edo","127,New Lagos Road",2011-02-01,110.358619689941
"Maize Yellow","Edo","127,New Lagos Road",2011-03-01,109.027778625488
"Maize Yellow","Edo","127,New Lagos Road",2011-04-01,122.422676086426
"Maize Yellow","Edo","127,New Lagos Road",2011-05-01,116.580307006836
