"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2119,163,"NGA","Nigeria",1,"Abia","","","State","State"
2120,163,"NGA","Nigeria",2,"Adamawa","","","State","State"
2121,163,"NGA","Nigeria",3,"Akwa Ibom","","","State","State"
2122,163,"NGA","Nigeria",4,"Anambra","","","State","State"
2123,163,"NGA","Nigeria",5,"Bauchi","","","State","State"
2124,163,"NGA","Nigeria",6,"Bayelsa","","","State","State"
2125,163,"NGA","Nigeria",7,"Benue","","","State","State"
2126,163,"NGA","Nigeria",8,"Borno","","","State","State"
2127,163,"NGA","Nigeria",9,"Cross River","","","State","State"
2128,163,"NGA","Nigeria",10,"Delta","","","State","State"
2129,163,"NGA","Nigeria",11,"Ebonyi","","","State","State"
2130,163,"NGA","Nigeria",12,"Edo","","","State","State"
2131,163,"NGA","Nigeria",13,"Ekiti","","","State","State"
2132,163,"NGA","Nigeria",14,"Enugu","","","State","State"
2133,163,"NGA","Nigeria",15,"Federal Capital Territory","","Abuja","State","State"
2134,163,"NGA","Nigeria",16,"Gombe","","","State","State"
2135,163,"NGA","Nigeria",17,"Imo","","","State","State"
2136,163,"NGA","Nigeria",18,"Jigawa","","","State","State"
2137,163,"NGA","Nigeria",19,"Kaduna","","","State","State"
2138,163,"NGA","Nigeria",20,"Kano","","","State","State"
2139,163,"NGA","Nigeria",21,"Katsina","","","State","State"
2140,163,"NGA","Nigeria",22,"Kebbi","","","State","State"
2141,163,"NGA","Nigeria",23,"Kogi","","","State","State"
2142,163,"NGA","Nigeria",24,"Kwara","","","State","State"
2143,163,"NGA","Nigeria",25,"Lagos","","","State","State"
2144,163,"NGA","Nigeria",26,"Nassarawa","","","State","State"
2145,163,"NGA","Nigeria",27,"Niger","","","State","State"
2146,163,"NGA","Nigeria",28,"Ogun","","","State","State"
2147,163,"NGA","Nigeria",29,"Ondo","","","State","State"
2148,163,"NGA","Nigeria",30,"Osun","","","State","State"
2149,163,"NGA","Nigeria",31,"Oyo","","","State","State"
2150,163,"NGA","Nigeria",32,"Plateau","","","State","State"
2151,163,"NGA","Nigeria",33,"Rivers","","","State","State"
2152,163,"NGA","Nigeria",34,"Sokoto","","","State","State"
2153,163,"NGA","Nigeria",35,"Taraba","","","State","State"
2154,163,"NGA","Nigeria",36,"Water body","","","Water body","Water body"
2155,163,"NGA","Nigeria",37,"Yobe","","","State","State"
2156,163,"NGA","Nigeria",38,"Zamfara","","","State","State"
