"item","state","centre","zoneCode","date","volMoving","xPosition"
"Cement Dangote","Edo","127,New Lagos Road",2,2010-06-01,0.89,10
"Cement Dangote","Edo","127,New Lagos Road",2,2010-12-01,3.94,18
"Cement Dangote","Edo","127,New Lagos Road",2,2011-06-01,8.78,26
"Cement Dangote","Edo","127,New Lagos Road",2,2011-12-01,11.21,34
"Cement Dangote","Edo","127,New Lagos Road",2,2012-06-01,5.29,42
"Cement Dangote","Edo","127,New Lagos Road",2,2012-12-01,4.05,50
"Drink Swan Water Bottle","Edo","127,New Lagos Road",2,2010-06-01,23.57,10
"Drink Swan Water Bottle","Edo","127,New Lagos Road",2,2010-12-01,45.43,18
"Drink Swan Water Bottle","Edo","127,New Lagos Road",2,2011-06-01,45.45,26
"Drink Swan Water Bottle","Edo","127,New Lagos Road",2,2011-12-01,16.9,34
"Drink Swan Water Bottle","Edo","127,New Lagos Road",2,2012-12-01,12.38,50
"Maize White","Edo","127,New Lagos Road",2,2010-06-01,91.27,10
"Maize White","Edo","127,New Lagos Road",2,2010-12-01,63.87,18
"Maize White","Edo","127,New Lagos Road",2,2011-06-01,21.82,26
"Maize White","Edo","127,New Lagos Road",2,2011-12-01,10.02,34
"Maize White","Edo","127,New Lagos Road",2,2012-06-01,5.65,42
"Maize White","Edo","127,New Lagos Road",2,2012-12-01,8.2,50
"Maize Yellow","Edo","127,New Lagos Road",2,2010-06-01,16.5,10
"Maize Yellow","Edo","127,New Lagos Road",2,2010-12-01,12.78,18
"Maize Yellow","Edo","127,New Lagos Road",2,2011-06-01,5.82,26
"Maize Yellow","Edo","127,New Lagos Road",2,2011-12-01,6.41,34
"Maize Yellow","Edo","127,New Lagos Road",2,2012-06-01,25.75,42
"Maize Yellow","Edo","127,New Lagos Road",2,2012-12-01,27.81,50
"Rice Imported","Edo","127,New Lagos Road",2,2010-06-01,59.48,10
"Rice Imported","Edo","127,New Lagos Road",2,2010-12-01,43.17,18
"Rice Imported","Edo","127,New Lagos Road",2,2011-06-01,55.44,26
"Rice Imported","Edo","127,New Lagos Road",2,2011-12-01,51.87,34
"Rice Imported","Edo","127,New Lagos Road",2,2012-06-01,6.72,42
"Rice Imported","Edo","127,New Lagos Road",2,2012-12-01,11.57,50
"Rice Local","Edo","127,New Lagos Road",2,2010-06-01,41.04,10
"Rice Local","Edo","127,New Lagos Road",2,2010-12-01,31.08,18
"Rice Local","Edo","127,New Lagos Road",2,2011-06-01,27.97,26
"Rice Local","Edo","127,New Lagos Road",2,2011-12-01,25.31,34
"Rice Local","Edo","127,New Lagos Road",2,2012-06-01,14.01,42
"Rice Local","Edo","127,New Lagos Road",2,2012-12-01,32.29,50
"Sorghum","Edo","127,New Lagos Road",2,2010-06-01,8.88,10
"Sorghum","Edo","127,New Lagos Road",2,2010-12-01,9.88,18
"Sorghum","Edo","127,New Lagos Road",2,2011-06-01,17.48,26
"Sorghum","Edo","127,New Lagos Road",2,2011-12-01,22.98,34
"Sorghum","Edo","127,New Lagos Road",2,2012-06-01,22.58,42
"Sorghum","Edo","127,New Lagos Road",2,2012-12-01,19.91,50
"Cement Dangote","Delta","48, Arakpa Rd",2,2010-06-01,8.36,10
"Cement Dangote","Delta","48, Arakpa Rd",2,2010-12-01,7.21,18
"Cement Dangote","Delta","48, Arakpa Rd",2,2011-06-01,9.28,26
"Cement Dangote","Delta","48, Arakpa Rd",2,2011-12-01,32.49,34
"Cement Dangote","Delta","48, Arakpa Rd",2,2012-06-01,30.51,42
"Cement Dangote","Delta","48, Arakpa Rd",2,2012-12-01,27.01,50
