"item","zoneCode","mean","median","dotPosition"
"Cement Dangote",1,47.8333333333333,48.5,1
"Cement Dangote",2,68.3333333333333,73,2
"Cement Dangote",3,54.8333333333333,75.5,3
"Cement Dangote",4,52,77,4
"Cement Dangote",5,56,73,5
"Cement Dangote",6,46.7142857142857,71,6
"Drink Swan Water Bottle",1,75.2,79,7
"Drink Swan Water Bottle",2,75.5,75.5,8
"Drink Swan Water Bottle",3,60.5,87,9
"Drink Swan Water Bottle",4,69.5555555555556,83,10
"Drink Swan Water Bottle",5,72.1428571428571,95,11
"Drink Swan Water Bottle",6,54.2222222222222,46,12
"Maize White",1,60.1666666666667,63,13
"Maize White",2,81.2,82,14
"Maize White",3,58.6666666666667,80,15
"Maize White",4,64.9,88,16
"Maize White",5,66.625,84,17
"Maize White",6,73.6666666666667,98,18
"Maize Yellow",1,51.8333333333333,44.5,19
"Maize Yellow",2,77.2,85,20
"Maize Yellow",3,48.5,57.5,21
"Maize Yellow",4,41.6,33.5,22
"Maize Yellow",5,66.375,88,23
"Maize Yellow",6,61.8888888888889,86,24
"Rice Imported",1,54.5,56.5,25
"Rice Imported",2,81.8,80,26
"Rice Imported",3,31.5,27.5,27
"Rice Imported",4,65,89,28
"Rice Imported",5,63.8571428571429,82,29
"Rice Imported",6,61.7777777777778,86,30
"Rice Local",1,40.1666666666667,28,31
"Rice Local",2,80.5,80,32
"Rice Local",3,22,3,33
"Rice Local",4,61.3,85.5,34
"Rice Local",5,67.375,87.5,35
"Rice Local",6,66.2222222222222,81,36
"Sorghum",1,52.8333333333333,46.5,37
"Sorghum",2,79.6,78,38
"Sorghum",3,61.8333333333333,89.5,39
"Sorghum",4,71.2222222222222,91,40
"Sorghum",5,72,80,41
"Sorghum",6,59.7142857142857,73,42
