"item","zoneCode","mean","median","boxPosition","dotPosition"
"Maize White",1,0.122217332323392,0.135087177157402,1,1
"Maize White",2,-0.0658076032996178,0.0779976844787598,1,2
"Maize White",3,-0.269492149353027,-0.269492149353027,1,3
"Maize White",4,-0.0740686617791653,-0.204409323632717,1,4
"Maize White",5,-0.0951761500909925,-0.152026582509279,1,5
"Maize White",6,-0.101894016067187,-0.203464418649673,1,6
"Maize Yellow",1,0.155302775402864,0.118035111576319,3,9
"Maize Yellow",2,0.218234464526176,0.218234464526176,3,10
"Maize Yellow",3,-0.142346478998661,-0.142346478998661,3,11
"Maize Yellow",4,-0.155498508363962,-0.211037985980511,3,12
"Maize Yellow",5,-0.0280741850535075,-0.137303829193115,3,13
"Maize Yellow",6,-0.270216040313244,-0.2706034258008,3,14
"Rice Imported",1,0.688512245193124,0.351253688335419,5,17
"Rice Imported",2,-0.0361933559179306,0.148267671465874,5,18
"Rice Imported",3,-0.143697053194046,-0.368982225656509,5,19
"Rice Imported",4,0.226930648088455,0.244635470211506,5,20
"Rice Imported",5,0.155861228704453,0.277983948588371,5,21
"Rice Imported",6,0.364575064182281,0.53761214017868,5,22
"Rice Local",1,0.271833370129267,0.377443298697472,7,25
"Rice Local",2,0.881200840075811,0.508186653256416,7,26
"Rice Local",3,0.227414637804031,0.315558984875679,7,27
"Rice Local",4,0.417011567524501,0.361666738986969,7,28
"Rice Local",5,0.292568272600571,0.296005010604858,7,29
"Rice Local",6,0.737497006853422,0.520271062850952,7,30
"Sorghum",1,0.133321395516396,0.167301669716835,9,33
"Sorghum",2,0.178615778684616,0.178615778684616,9,34
"Sorghum",3,-0.122082646936178,-0.278330452740192,9,35
"Sorghum",4,-0.133290539185206,-0.200838893651962,9,36
"Sorghum",5,-0.0237121544778347,0.0053413063287735,9,37
"Sorghum",6,-0.323861649632454,-0.300526648759842,9,38
