"item","state","urbanRural","pT"
"Rice Imported","Abia","Rural",-0.368982225656509
"Rice Local","Abia","Rural",-0.474304884672165
"Sorghum","Abia","Urban",-0.234883800148964
"Maize Yellow","Abia","Urban",0.184717163443565
"Rice Imported","Abia","Urban",-0.575072765350342
"Sorghum","Adamawa","Urban",-0.300526648759842
"Rice Imported","Adamawa","Urban",0.53761214017868
"Maize Yellow","Adamawa","Rural",-0.188264980912209
"Rice Local","Adamawa","Urban",0.560229063034058
"Maize White","Akwa Ibom","Rural",-0.891207337379456
"Rice Local","Akwa Ibom","Rural",0.40097650885582
"Rice Imported","Akwa Ibom","Rural",0.32899072766304
"Maize White","Anambra","Urban",-0.224372625350952
"Sorghum","Anambra","Rural",-0.372022330760956
"Sorghum","Anambra","Urban",-0.321777105331421
"Maize White","Bauchi","Urban",-0.257220566272736
"Rice Local","Bauchi","Urban",-0.385461926460266
"Maize Yellow","Bauchi","Urban",-0.185063973069191
"Rice Local","Benue","Urban",0.150525063276291
"Sorghum","Benue","Urban",-0.215435191988945
"Maize White","Benue","Rural",-0.352851301431656
"Rice Local","Benue","Rural",0.422364145517349
"Sorghum","Benue","Rural",-0.452137380838394
"Maize White","Borno","Urban",-0.203464418649673
"Sorghum","Borno","Urban",-0.191454976797104
"Rice Local","Borno","Rural",0.483927249908447
"Maize Yellow","Borno","Urban",-0.354593336582184
"Rice Imported","Borno","Urban",0.373040378093719
"Rice Imported","Borno","Rural",0.753970205783844
"Maize White","Cross River","Urban",0.471981555223465
"Rice Imported","Delta","Urban",-0.686199843883514
"Rice Local","Delta","Rural",4.42222595214844
"Sorghum","Delta","Urban",0.131725281476974
"Rice Imported","Delta","Rural",0.479349583387375
"Maize White","Delta","Rural",0.406179875135422
"Maize Yellow","Delta","Rural",0.248575955629349
"Sorghum","Delta","Rural",0.225506275892258
"Rice Local","Delta","Urban",0.615396797657013
"Rice Local","Ebonyi","Urban",0.349152714014053
"Sorghum","Ebonyi","Rural",0.440352648496628
"Rice Local","Ebonyi","Rural",0.281965255737305
"Rice Local","Edo","Rural",-1.16144621372223
"Maize Yellow","Edo","Rural",0.187892973423004
"Rice Imported","Edo","Urban",-0.451374918222427
"Rice Local","Ekiti","Urban",0.588595271110535
"Rice Local","Ekiti","Rural",0.379151105880737
"Rice Imported","Ekiti","Rural",2.98719668388367
"Maize White","Ekiti","Rural",-0.0962308347225189
"Rice Imported","Enugu","Rural",0.512963831424713
"Maize White","Enugu","Rural",-0.314611673355103
"Rice Local","Enugu","Rural",0.752845466136932
"Maize Yellow","Enugu","Rural",-0.469410121440887
"Rice Imported","FCT","Rural",-0.935634315013885
"Rice Local","FCT","Urban",0.241694211959839
"Sorghum","FCT","Rural",0.239874511957169
"Maize White","FCT","Rural",0.291569322347641
"Maize Yellow","FCT","Rural",0.324764788150787
"Rice Local","FCT","Rural",0.305877774953842
"Rice Local","Gombe","Urban",0.556614875793457
"Sorghum","Gombe","Rural",-0.620721578598022
"Rice Local","Gombe","Rural",2.79632496833801
"Sorghum","Gombe","Urban",-0.327200174331665
"Maize Yellow","Jigawa","Urban",-0.245075330138206
"Maize Yellow","Jigawa","Rural",-0.454336076974869
"Maize White","Jigawa","Rural",-0.235372975468636
"Rice Local","Kaduna","Urban",0.43706864118576
"Rice Imported","Kaduna","Urban",0.305210590362549
"Rice Local","Kaduna","Rural",0.361666738986969
"Rice Imported","Kaduna","Rural",0.11324106156826
"Maize Yellow","Kaduna","Urban",-0.177000641822815
"Maize White","Kaduna","Urban",-0.173445671796799
"Maize Yellow","Kano","Rural",0.254418015480042
"Maize White","Kano","Rural",0.405279457569122
"Sorghum","Kano","Urban",-0.200838893651962
"Rice Local","Kano","Urban",0.219755053520203
"Rice Local","Katsina","Urban",0.400847166776657
"Rice Local","Katsina","Rural",0.352412611246109
"Sorghum","Kebbi","Urban",-0.303697615861893
"Sorghum","Kebbi","Rural",0.104664891958237
"Rice Local","Kebbi","Rural",0.856761336326599
"Rice Local","Kogi","Urban",0.402804493904114
"Sorghum","Kogi","Urban",-0.174338027834892
"Rice Imported","Kogi","Urban",0.525838434696198
"Rice Imported","Kogi","Rural",0.544160723686218
"Sorghum","Kwara","Rural",0.208755657076836
