"item","state","centre","urbanRural","date","meanPrice","lat","long"
"Cement Dangote","Abia","Aba","Urban",2009-01-01,1420.83349609375,"5.116667"," 7.366667"
"Cement Dangote","Abia","Aba","Urban",2009-02-01,1744.4443359375,"5.116667"," 7.366667"
"Cement Dangote","Abia","Aba","Urban",2009-03-01,1672.5,"5.116667"," 7.366667"
"Cement Dangote","Abia","Aba","Urban",2009-04-01,1645,"5.116667"," 7.366667"
"Cement Dangote","Abia","Aba","Urban",2009-09-01,1482.14270019531,"5.116667"," 7.366667"
"Cement Dangote","Abia","Aba","Urban",2010-01-01,1476.67004394531,"5.116667"," 7.366667"
"Cement Dangote","Abia","Aba","Urban",2010-02-01,1510,"5.116667"," 7.366667"
"Cement Dangote","Abia","Aba","Urban",2010-04-01,1443.32995605469,"5.116667"," 7.366667"
"Cement Dangote","Abia","Aba","Urban",2010-05-01,1440,"5.116667"," 7.366667"
"Cement Dangote","Abia","Aba","Urban",2010-06-01,1340,"5.116667"," 7.366667"
"Cement Dangote","Abia","Aba","Urban",2010-07-01,1383.32995605469,"5.116667"," 7.366667"
"Cement Dangote","Abia","Aba","Urban",2010-09-01,1387.5,"5.116667"," 7.366667"
"Cement Dangote","Abia","Aba","Urban",2010-10-01,1426.67004394531,"5.116667"," 7.366667"
"Cement Dangote","Abia","Aba","Urban",2012-12-01,1680,"5.116667"," 7.366667"
"Drink Swan Water Bottle","Abia","Aba","Urban",2009-03-01,68.3333358764648,"5.116667"," 7.366667"
"Drink Swan Water Bottle","Abia","Aba","Urban",2012-11-01,113.330001831055,"5.116667"," 7.366667"
"Maize White","Abia","Aba","Urban",2009-01-01,104.004325866699,"5.116667"," 7.366667"
"Maize White","Abia","Aba","Urban",2009-05-01,131.356048583984,"5.116667"," 7.366667"
"Maize White","Abia","Aba","Urban",2010-12-01,97.0873794555664,"5.116667"," 7.366667"
"Maize White","Abia","Aba","Urban",2012-11-01,105.818962097168,"5.116667"," 7.366667"
"Maize Yellow","Abia","Aba","Urban",2009-02-01,136.904769897461,"5.116667"," 7.366667"
"Maize Yellow","Abia","Aba","Urban",2009-05-01,115.972221374512,"5.116667"," 7.366667"
"Maize Yellow","Abia","Aba","Urban",2010-12-01,110.294120788574,"5.116667"," 7.366667"
"Maize Yellow","Abia","Aba","Urban",2012-11-01,113.953483581543,"5.116667"," 7.366667"
"Maize Yellow","Abia","Aba","Urban",2012-12-01,127.90697479248,"5.116667"," 7.366667"
"Rice Imported","Abia","Aba","Urban",2009-01-01,169.696960449219,"5.116667"," 7.366667"
"Rice Imported","Abia","Aba","Urban",2009-02-01,161.85383605957,"5.116667"," 7.366667"
"Rice Imported","Abia","Aba","Urban",2009-03-01,174.545455932617,"5.116667"," 7.366667"
"Rice Imported","Abia","Aba","Urban",2009-04-01,185.454544067383,"5.116667"," 7.366667"
"Rice Imported","Abia","Aba","Urban",2009-05-01,172.727264404297,"5.116667"," 7.366667"
"Rice Imported","Abia","Aba","Urban",2009-06-01,193.939392089844,"5.116667"," 7.366667"
"Rice Imported","Abia","Aba","Urban",2010-04-01,183.397674560547,"5.116667"," 7.366667"
"Rice Imported","Abia","Aba","Urban",2010-08-01,185.950408935547,"5.116667"," 7.366667"
