"item","state","urbanRural","centre","date","volatilityRank","position","column","position1","position2"
"Cement Dangote","Abia","Rural","51 Umuechem Road",2010-06-01,3,1,0,1,0
"Cement Dangote","Abia","Rural","51 Umuechem Road",2010-12-01,2,1,0,1,0
"Cement Dangote","Abia","Rural","51 Umuechem Road",2011-06-01,1,1,0,1,0
"Cement Dangote","Abia","Rural","51 Umuechem Road",2011-12-01,1,1,0,1,0
"Cement Dangote","Abia","Rural","51 Umuechem Road",2012-06-01,1,1,0,1,0
"Cement Dangote","Abia","Rural","51 Umuechem Road",2012-12-01,1,1,0,1,0
"Cement Dangote","Abia","Rural","ACC Mission",2010-06-01,3,2,0,2,0
"Cement Dangote","Abia","Rural","ACC Mission",2010-12-01,2,2,0,2,0
"Cement Dangote","Abia","Rural","ACC Mission",2011-06-01,1,2,0,2,0
"Cement Dangote","Abia","Rural","ACC Mission",2011-12-01,1,2,0,2,0
"Cement Dangote","Abia","Rural","ACC Mission",2012-06-01,1,2,0,2,0
"Cement Dangote","Abia","Rural","ACC Mission",2012-12-01,1,2,0,2,0
"Cement Dangote","Abia","Urban","Aba ukwu amano",2010-06-01,2,1,0,1,0
"Cement Dangote","Abia","Urban","Aba ukwu amano",2010-12-01,3,1,0,1,0
"Cement Dangote","Abia","Urban","Aba ukwu amano",2011-06-01,2,1,0,1,0
"Cement Dangote","Abia","Urban","Aba ukwu amano",2011-12-01,1,3,0,3,0
"Cement Dangote","Abia","Urban","Aba ukwu amano",2012-06-01,1,3,0,3,0
"Cement Dangote","Abia","Urban","Aba ukwu amano",2012-12-01,1,3,0,3,0
"Cement Dangote","Abia","Urban","Aba",2009-12-01,5,1,0,1,0
"Cement Dangote","Abia","Urban","Aba",2010-06-01,2,2,0,2,0
"Cement Dangote","Abia","Urban","Aba",2010-12-01,3,2,0,2,0
"Cement Dangote","Abia","Urban","Aba",2011-06-01,2,2,0,2,0
"Cement Dangote","Abia","Urban","Aba",2011-12-01,1,4,0,4,0
"Cement Dangote","Abia","Urban","Aba",2012-06-01,1,4,0,4,0
"Cement Dangote","Abia","Urban","Aba",2012-12-01,1,4,0,4,0
"Cement Dangote","Abia","Rural","Abala",2010-06-01,3,3,0,3,0
"Cement Dangote","Abia","Rural","Abala",2010-12-01,2,3,0,3,0
"Cement Dangote","Abia","Rural","Abala",2011-06-01,1,3,0,3,0
"Cement Dangote","Abia","Rural","Abala",2011-12-01,1,5,0,5,0
"Cement Dangote","Abia","Rural","Abala",2012-06-01,1,5,0,5,0
