"state","zoneCode","stateCode"
"Ekiti",1,1
"Lagos",1,2
"Ogun",1,3
"Ondo",1,4
"Osun",1,5
"Oyo",1,6
"Akwa Ibom",2,7
"Bayelsa",2,8
"Cross River",2,9
"Delta",2,10
"Edo",2,11
"Rivers",2,12
"Abia",3,13
"Anambra",3,14
"Ebonyi",3,15
"Enugu",3,16
"Imo",3,17
"Jigawa",4,18
"Kaduna",4,19
"Kano",4,20
"Katsina",4,21
"Kebbi",4,22
"Sokoto",4,23
"Zamfara",4,24
"Benue",5,25
"FCT",5,26
"Kogi",5,27
"Kwara",5,28
"Nasarawa",5,29
"Niger",5,30
"Plateau",5,31
"Adamawa",6,32
"Bauchi",6,33
"Borno",6,34
"Gombe",6,35
"Taraba",6,36
"Yobe",6,37
