"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
20328,163,"NGA","Nigeria",23,"Kogi",471,"Ankpa","","","Local Authority","Local Authority"
20329,163,"NGA","Nigeria",23,"Kogi",472,"Bassa","","","Local Authority","Local Authority"
20330,163,"NGA","Nigeria",23,"Kogi",473,"Dekina","","","Local Authority","Local Authority"
20331,163,"NGA","Nigeria",23,"Kogi",474,"Ibaji","","","Local Authority","Local Authority"
20332,163,"NGA","Nigeria",23,"Kogi",475,"Idah","","","Local Authority","Local Authority"
20333,163,"NGA","Nigeria",23,"Kogi",476,"Igalamela-Odolu","","","Local Authority","Local Authority"
20334,163,"NGA","Nigeria",23,"Kogi",477,"Ijumu","","","Local Authority","Local Authority"
20335,163,"NGA","Nigeria",23,"Kogi",478,"Kabba/Bu","","Kabba /Bunu","Local Authority","Local Authority"
20336,163,"NGA","Nigeria",23,"Kogi",479,"Kotonkar","","Koton-Karfe","Local Authority","Local Authority"
20337,163,"NGA","Nigeria",23,"Kogi",480,"Lokoja","","","Local Authority","Local Authority"
20338,163,"NGA","Nigeria",23,"Kogi",481,"Mopa-Muro","","","Local Authority","Local Authority"
20339,163,"NGA","Nigeria",23,"Kogi",482,"Ofu","","","Local Authority","Local Authority"
20340,163,"NGA","Nigeria",23,"Kogi",483,"Ogori/Magongo","","","Local Authority","Local Authority"
20341,163,"NGA","Nigeria",23,"Kogi",484,"Okehi","","","Local Authority","Local Authority"
20342,163,"NGA","Nigeria",23,"Kogi",485,"Okene","","","Local Authority","Local Authority"
20343,163,"NGA","Nigeria",23,"Kogi",486,"Olamabor","","Olamaboro","Local Authority","Local Authority"
20344,163,"NGA","Nigeria",23,"Kogi",487,"Omala","","","Local Authority","Local Authority"
20345,163,"NGA","Nigeria",23,"Kogi",488,"Yagba East","","","Local Authority","Local Authority"
20346,163,"NGA","Nigeria",23,"Kogi",489,"Yagba West","","","Local Authority","Local Authority"
20347,163,"NGA","Nigeria",24,"Kwara",490,"Asa","","","Local Authority","Local Authority"
20348,163,"NGA","Nigeria",24,"Kwara",491,"Baruten","","","Local Authority","Local Authority"
20349,163,"NGA","Nigeria",24,"Kwara",492,"Edu","","","Local Authority","Local Authority"
20350,163,"NGA","Nigeria",24,"Kwara",493,"Ekiti","","","Local Authority","Local Authority"
23303,163,"NGA","Nigeria",28,"Ogun",582,"Remo-North","","","Local Authority","Local Authority"
23304,163,"NGA","Nigeria",28,"Ogun",583,"Shagamu","","","Local Authority","Local Authority"
23305,163,"NGA","Nigeria",29,"Ondo",584,"Akoko North-East","","","Local Authority","Local Authority"
23306,163,"NGA","Nigeria",29,"Ondo",585,"Akoko South-East","","","Local Authority","Local Authority"
23307,163,"NGA","Nigeria",29,"Ondo",586,"Akoko South-West","","","Local Authority","Local Authority"
23308,163,"NGA","Nigeria",29,"Ondo",587,"AkokoNorthWest","","Akoko North-West","Local Authority","Local Authority"
